2022-07-23 11:20:59.110 INFO  28580 --- [main] o.a.r.s.support.DefaultRocketMQListenerContainer - running container: DefaultRocketMQListenerContainer{consumerGroup='default', namespace='', nameServer='192.168.50.136:9876', topic='order_topic', consumeMode=CONCURRENTLY, selectorType=TAG, selectorExpression='B', messageModel=CLUSTERING', tlsEnable=false}
2022-07-23 11:20:59.112 INFO  28580 --- [main] o.a.r.s.a.ListenerContainerConfiguration - Register the listener to container, listenerBeanName:orderConsumerTagB, containerBeanName:org.apache.rocketmq.spring.support.DefaultRocketMQListenerContainer_1
2022-07-23 11:20:59.127 INFO  28580 --- [main] org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9090"]
2022-07-23 11:20:59.144 INFO  28580 --- [main] o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 9090 (http) with context path ''
2022-07-23 11:20:59.157 INFO  28580 --- [main] com.example.mqdemo.MqdemoApplication - Started MqdemoApplication in 9.945 seconds (JVM running for 16.628)
2022-07-23 11:21:20.193 INFO  28580 --- [http-nio-9090-exec-3] o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-07-23 11:21:20.193 INFO  28580 --- [http-nio-9090-exec-3] org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-07-23 11:21:20.194 INFO  28580 --- [http-nio-9090-exec-3] org.springframework.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2022-07-23 11:26:33.144 INFO  28580 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:10911] result: true
2022-07-23 11:26:33.146 INFO  28580 --- [NettyClientSelector_1] RocketmqRemoting - closeChannel: close the connection to remote address[192.168.50.136:9876] result: true
2022-07-23 11:26:54.588 INFO  27128 --- [background-preinit] org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.3.Final
